,Country,Region_Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Fiji,Asia & Oceania,1.5979998,1.4639986,1.5760006,2.6429984,1.9460014,4.308002,3.0960023,2.1389988,2.0300004,2.8379997,2.3609998,8.3439991,11.211999,2.6824397,3.6110215,6.6598783,1.8720631,2.0228181,0.951361,1.8513991,1.969517,1.423561,1.2950114,1.8721399,1.830181,1.9506104,2.3428413,3.515915,3.4384324,9.2336651
41,Iran (Islamic Republic of),Asia & Oceania,3.5480004,5.1080018,2.3149989,5.4289995,0.9179993,0.1970015,0.0100003,0.4539998,2.1100002,2.0599994,2.526184,7.4090239,4.1322402,12.8364773,32.5295707,43.1299243,61.068024,35.8209854,69.8070243,66.5561371,145.6231678,137.2181168,155.930963,107.6859593,81.673135,101.62962,161.4758195,208.1668458,245.0731162,445.3836828
42,Iraq,Asia & Oceania,8.3330004,0.1940016,0.0,0.3,0.3,0.7580002,1.3459975,2.3460017,0.468,3.346998,1.4479998,9.4410003,4.9069999,7.1329998,10.0730007,9.119976,6.126684,17.109976,23.763316,14.00334,10.580024,19.923344,22.3189998,52.9729993,36.5210007,33.3800004,53.0179985,176.3456153,223.6573384,56.2197434
43,Israel,Asia & Oceania,272.7,340.5669946,453.3539906,468.9789837,478.5099863,449.9669884,461.0079862,462.4589848,522.8549808,451.9849895,357.0349954,429.9839884,394.3829916,431.3769927,460.6055261,504.9669071,593.128225899999,586.7898406,592.9327629,513.5984047,657.4941951,647.7939425,661.7517365,639.1097018,591.7674258,620.4026644,598.800078,718.9867292,733.8568128,856.1828274
44,Jordan,Asia & Oceania,50.8230041,63.7659956,106.0810019,47.1430086,46.9930034,78.0450094,81.2460006,94.7769992,128.2320059,118.7410041,174.1630003,158.6319984,204.4679992,161.974999,222.129998,159.3983257,189.1174182,232.2536354,256.9366024,336.0866132,356.384761,326.4535222,405.2043357,550.3120859,565.7365248,563.6722713,635.540541,672.9434684,816.3339712,695.2855617
45,Kazakhstan,Asia & Oceania,0.0,0.0,0.649999,4.3329998,9.100001,10.975004,3.0070006,2.7650009,21.200009,10.456008,18.5999996,33.1079967,34.9231793,56.8742154,66.2816005,66.0270694,111.7265618,163.7167837,150.86668,184.361614,158.2665532,132.756217,132.0485634,137.7654187,130.9139092,127.6775733,144.9473089,182.4787292,206.2096921,240.537574
46,Kiribati,Asia & Oceania,0.1289988,0.1983254,0.1280004,0.1983254,0.1983254,0.1983254,0.3649854,0.1983254,0.1983254,0.5316654,0.6983254,0.1983254,3.0878937,0.5943779,0.3604689,0.1587405,0.5115955,0.0366925,0.3562961,0.147229,0.134799,0.2199777,0.1210609,0.22985,0.8040002,0.367,0.5014184,2.008621,2.4822379,1.0105306
47,Kuwait,Asia & Oceania,20.6970007,18.549001,44.8670032,33.6230011,32.9030009,40.3770029,45.6200003,38.0890021,51.0719998,55.986,52.0489993,77.4299974,87.0239973,72.5089963,73.0982624,89.7268015,59.9897603,61.7688606,74.7608985,72.2391677,72.0465689,82.8967655,101.1846415,95.8310862,155.5549707,164.4536932,221.8456764,209.0735033,261.9749534,264.8502474
48,Kyrgyzstan,Asia & Oceania,0.0,0.0,2.0000004,0.6159996,0.294,0.1869996,0.06666,1.6,5.4531508,1.79584,0.1165508,0.0251646,0.6937594,3.2778906,4.8005174,5.62165,7.4861161,7.2942594,7.97981,13.6886562,16.6140352,21.4570496,18.8813609,16.8372849,19.8373474,21.4406168,39.7901883,21.9843804,18.8445235,28.0616032
49,Lebanon,Asia & Oceania,166.6670004,266.667,350.0000004,249.9999996,216.6669996,300.0,300.0,255.2699999,305.9840711,282.7671768,275.0188784,424.5299087,322.6151868,314.9251935,414.6059839,356.5666684,315.6319448,435.5307017,397.1339507,421.9561824,460.8656772,432.3957766,451.2130596,647.2350693,612.2954932,645.9624451,638.8880164,620.2979492,648.6958571,623.1123472
